,REF_DATE,GEO,Type of fuel sales,UOM,SCALAR_FACTOR,VALUE
0,1987,Canada,Net sales of gasoline,Litres,thousands,31089401.0
1,1987,Canada,Gross sales of gasoline,Litres,thousands,32819878.0
2,1987,Canada,Net sales of diesel oil,Litres,thousands,4418838.0
3,1987,Canada,Net sales of liquefied petroleum gas,Litres,thousands,40919.0
4,1987,Newfoundland and Labrador,Net sales of gasoline,Litres,thousands,535421.0
5,1987,Newfoundland and Labrador,Gross sales of gasoline,Litres,thousands,558397.0
6,1987,Newfoundland and Labrador,Net sales of diesel oil,Litres,thousands,125735.0
7,1987,Newfoundland and Labrador,Net sales of liquefied petroleum gas,Litres,thousands,1103.0
8,1987,Prince Edward Island,Net sales of gasoline,Litres,thousands,166155.0
9,1987,Prince Edward Island,Gross sales of gasoline,Litres,thousands,171279.0
10,1987,Prince Edward Island,Net sales of diesel oil,Litres,thousands,20958.0
11,1987,Prince Edward Island,Net sales of liquefied petroleum gas,Litres,thousands,590.0
12,1987,Nova Scotia,Net sales of gasoline,Litres,thousands,1057589.0
13,1987,Nova Scotia,Gross sales of gasoline,Litres,thousands,1084990.0
14,1987,Nova Scotia,Net sales of diesel oil,Litres,thousands,255479.0
15,1987,Nova Scotia,Net sales of liquefied petroleum gas,Litres,thousands,6053.0
16,1987,New Brunswick,Net sales of gasoline,Litres,thousands,979407.0
17,1987,New Brunswick,Gross sales of gasoline,Litres,thousands,993103.0
18,1987,New Brunswick,Net sales of diesel oil,Litres,thousands,266847.0
19,1987,New Brunswick,Net sales of liquefied petroleum gas,Litres,thousands,5287.0
20,1987,Quebec,Net sales of gasoline,Litres,thousands,6651383.0
21,1987,Quebec,Gross sales of gasoline,Litres,thousands,6754680.0
22,1987,Quebec,Net sales of diesel oil,Litres,thousands,2009031.0
23,1987,Quebec,Net sales of liquefied petroleum gas,Litres,thousands,3031.0
24,1987,Ontario,Net sales of gasoline,Litres,thousands,11405093.0
25,1987,Ontario,Gross sales of gasoline,Litres,thousands,11824862.0
