,REF_DATE,GEO,Type of vehicle,UOM,SCALAR_FACTOR,VALUE
0,1999,Canada,"Total, vehicle registrations",Number,units,23637104
1,1999,Canada,"Total, road motor vehicle registrations",Number,units,17534315
2,1999,Canada,"Vehicles weighing less than 4,500 kilograms",Number,units,16538054
3,1999,Canada,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,386804
4,1999,Canada,"Vehicles weighing 15,000 kilograms or more",Number,units,262326
5,1999,Canada,Buses,Number,units,73174
6,1999,Canada,Motorcycles and mopeds,Number,units,273957
7,1999,Canada,Trailers,Number,units,4145299
8,1999,Canada,"Off-road, construction, farm vehicles",Number,units,1957490
9,1999,Newfoundland and Labrador,"Total, vehicle registrations",Number,units,367069
10,1999,Newfoundland and Labrador,"Total, road motor vehicle registrations",Number,units,252349
11,1999,Newfoundland and Labrador,"Vehicles weighing less than 4,500 kilograms",Number,units,240212
12,1999,Newfoundland and Labrador,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,4056
13,1999,Newfoundland and Labrador,"Vehicles weighing 15,000 kilograms or more",Number,units,2973
14,1999,Newfoundland and Labrador,Buses,Number,units,1379
15,1999,Newfoundland and Labrador,Motorcycles and mopeds,Number,units,3729
16,1999,Newfoundland and Labrador,Trailers,Number,units,24276
17,1999,Newfoundland and Labrador,"Off-road, construction, farm vehicles",Number,units,90445
18,1999,Prince Edward Island,"Total, vehicle registrations",Number,units,86546
19,1999,Prince Edward Island,"Total, road motor vehicle registrations",Number,units,76307
20,1999,Prince Edward Island,"Vehicles weighing less than 4,500 kilograms",Number,units,70600
21,1999,Prince Edward Island,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,2094
22,1999,Prince Edward Island,"Vehicles weighing 15,000 kilograms or more",Number,units,2515
23,1999,Prince Edward Island,Buses,Number,units,51
24,1999,Prince Edward Island,Motorcycles and mopeds,Number,units,1047
25,1999,Prince Edward Island,Trailers,Number,units,8399
26,1999,Prince Edward Island,"Off-road, construction, farm vehicles",Number,units,1840
27,1999,Nova Scotia,"Total, vehicle registrations",Number,units,593727
28,1999,Nova Scotia,"Total, road motor vehicle registrations",Number,units,525382
29,1999,Nova Scotia,"Vehicles weighing less than 4,500 kilograms",Number,units,499193
30,1999,Nova Scotia,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,9453
31,1999,Nova Scotia,"Vehicles weighing 15,000 kilograms or more",Number,units,6838
32,1999,Nova Scotia,Buses,Number,units,1814
33,1999,Nova Scotia,Motorcycles and mopeds,Number,units,8084
34,1999,Nova Scotia,Trailers,Number,units,43042
35,1999,Nova Scotia,"Off-road, construction, farm vehicles",Number,units,25304
36,1999,New Brunswick,"Total, vehicle registrations",Number,units,542631
37,1999,New Brunswick,"Total, road motor vehicle registrations",Number,units,446074
38,1999,New Brunswick,"Vehicles weighing less than 4,500 kilograms",Number,units,421796
39,1999,New Brunswick,"Vehicles weighing 4,500 kilograms to 14,999 kilograms",Number,units,9417
40,1999,New Brunswick,"Vehicles weighing 15,000 kilograms or more",Number,units,4520
41,1999,New Brunswick,Buses,Number,units,2499
42,1999,New Brunswick,Motorcycles and mopeds,Number,units,7842
43,1999,New Brunswick,Trailers,Number,units,56000
44,1999,New Brunswick,"Off-road, construction, farm vehicles",Number,units,40558
45,1999,Quebec,"Total, vehicle registrations",Number,units,6166005
46,1999,Quebec,"Total, road motor vehicle registrations",Number,units,4063717
