MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS 
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km)
2000,ACURA,1.6EL,COMPACT,1.6,4,A4,X,10.5,8.0,9.4,30,216
2000,ACURA,1.6EL,COMPACT,1.6,4,M5,X,9.8,7.8,8.9,32,205
2000,ACURA,3.2TL,MID-SIZE,3.2,6,AS5,Z,13.7,8.8,11.5,25,265
2000,ACURA,3.5RL,MID-SIZE,3.5,6,A4,Z,15.0,10.9,13.1,22,301
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,A4,X,11.4,8.3,10.0,28,230
2000,ACURA,INTEGRA,SUBCOMPACT,1.8,4,M5,X,10.6,8.1,9.5,30,219
2000,ACURA,INTEGRA GSR/TYPE R,SUBCOMPACT,1.8,4,M5,Z,10.8,8.3,9.7,29,223
2000,ACURA,NSX,SUBCOMPACT,3.0,6,AS4,Z,15.2,10.9,13.3,21,306
2000,ACURA,NSX,SUBCOMPACT,3.2,6,M6,Z,15.4,10.7,13.3,21,306
2000,AUDI,A4,COMPACT,1.8,4,A5,Z,12.9,8.6,10.9,26,251
2000,AUDI,A4,COMPACT,1.8,4,M5,Z,11.1,8.1,9.7,29,223
2000,AUDI,A4,COMPACT,2.8,6,A5,Z,14.6,9.7,12.4,23,285
2000,AUDI,A4,COMPACT,2.8,6,M5,Z,13.2,8.9,11.3,25,260
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,A5,Z,13.6,9.1,11.6,24,267
2000,AUDI,A4 QUATTRO,COMPACT,1.8,4,M5,Z,12.1,8.9,10.7,26,246
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,A5,Z,14.9,10.1,12.7,22,292
2000,AUDI,A4 QUATTRO,COMPACT,2.8,6,M5,Z,14.3,10.3,12.5,23,288
2000,AUDI,A6,MID-SIZE,2.8,6,A5,Z,15.0,10.2,12.8,22,294
2000,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,2.8,6,A5,Z,15.4,10.7,13.3,21,306
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,A5,Z,15.2,10.6,13.2,21,304
2000,AUDI,A6 QUATTRO,MID-SIZE,2.7,6,M6,Z,15.2,10.7,13.2,21,304
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,A5,Z,15.4,10.7,13.3,21,306
2000,AUDI,A6 QUATTRO,MID-SIZE,2.8,6,M5,Z,14.6,10.9,12.9,22,297
2000,AUDI,A6 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.5,10.7,13.4,21,308
2000,AUDI,A8 QUATTRO,MID-SIZE,4.2,8,A5,Z,15.5,10.7,13.4,21,308
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,A5,Z,15.2,10.6,13.2,21,304
2000,AUDI,S4 QUATTRO,COMPACT,2.7,6,M6,Z,15.2,10.7,13.2,21,304
2000,AUDI,TT COUPE QUATTRO,MINICOMPACT,1.8,4,M5,Z,13.1,9.0,11.3,25,260
2000,AUDI,TT COUPE QUATTRO (SUPERCHARGED),MINICOMPACT,1.8,4,M6,Z,13.1,9.1,11.3,25,260
2000,AUDI,TT ROADSTER,TWO-SEATER,1.8,4,M5,Z,12.3,8.7,10.7,26,246
2000,AUDI,TT ROADSTER QUATTRO (SUPERCHARGED),TWO-SEATER,1.8,4,M6,Z,13.1,9.1,11.3,25,260
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,A5,Z,14.6,10.5,12.7,22,292
2000,BMW,323 CONVERTIBLE,COMPACT,2.5,6,M5,Z,13.9,10.2,12.2,23,281
2000,BMW,323Ci,COMPACT,2.5,6,A5,Z,13.8,9.3,11.8,24,271
2000,BMW,323Ci,COMPACT,2.5,6,M5,Z,13.0,8.9,11.2,25,258
2000,BMW,323i,COMPACT,2.5,6,A5,Z,13.8,9.3,11.8,24,271
2000,BMW,323i,COMPACT,2.5,6,M5,Z,13.0,8.9,11.2,25,258
2000,BMW,328Ci,COMPACT,2.8,6,A5,Z,13.9,9.4,11.9,24,274
2000,BMW,328Ci,COMPACT,2.8,6,M5,Z,13.0,8.9,11.2,25,258
2000,BMW,328i,COMPACT,2.8,6,A5,Z,13.9,9.4,11.9,24,274
2000,BMW,328i,COMPACT,2.8,6,M5,Z,13.0,8.9,11.2,25,258
2000,BMW,528i,COMPACT,2.8,6,A4,Z,14.6,9.9,12.5,23,288
2000,BMW,528i,COMPACT,2.8,6,M5,Z,13.0,8.9,11.2,25,258
2000,BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,A4,Z,14.6,9.9,12.5,23,288
2000,BMW,528i TOURING,STATION WAGON - SMALL,2.8,6,M5,Z,14.5,9.8,12.4,23,285
2000,BMW,540i,COMPACT,4.4,8,A5,Z,14.7,10.4,12.8,22,294
2000,BMW,540i,COMPACT,4.4,8,M6,Z,16.4,10.7,13.8,20,317
2000,BMW,540i TOURING,STATION WAGON - SMALL,4.4,8,A5,Z,15.5,11.9,13.9,20,320
2000,BMW,740i,MID-SIZE,4.4,8,A5,Z,15.4,10.9,13.4,21,308
2000,BMW,740iL,FULL-SIZE,4.4,8,A5,Z,15.4,10.9,13.4,21,308
2000,BMW,750iL,FULL-SIZE,5.4,12,A5,Z,19.1,12.7,16.2,17,373
2000,BMW,M COUPE,TWO-SEATER,3.2,6,M5,Z,13.9,10.1,12.2,23,281
2000,BMW,M ROADSTER,MINICOMPACT,3.2,6,M5,Z,13.9,10.1,12.2,23,281
2000,BMW,M5,COMPACT,4.9,8,M6,Z,19.6,12.2,16.3,17,375
2000,BMW,X5,SUV,4.4,8,A5,Z,14.9,10.2,12.8,22,294
2000,BMW,Z3,SUBCOMPACT,2.5,6,A4,Z,14.0,9.8,12.1,23,278
2000,BMW,Z3,SUBCOMPACT,2.5,6,M5,Z,13.4,9.5,11.6,24,267
2000,BMW,Z3,SUBCOMPACT,2.8,6,A4,Z,13.9,9.9,12.1,23,278
2000,BMW,Z3,SUBCOMPACT,2.8,6,M5,Z,13.9,9.9,12.1,23,278
2000,BMW,Z8,TWO-SEATER,4.9,8,M6,Z,19.3,13.0,16.5,17,380
2000,BUICK,CENTURY,MID-SIZE,3.1,6,A4,X,13.1,8.7,11.1,25,255
2000,BUICK,LESABRE,FULL-SIZE,3.8,6,A4,X,13.8,8.7,11.5,25,265
2000,BUICK,PARK AVENUE,FULL-SIZE,3.8,6,A4,X,14.4,9.1,12.0,24,276
2000,BUICK,PARK AVENUE #,FULL-SIZE,3.8,6,A4,Z,15.1,9.5,12.6,22,290
2000,BUICK,REGAL,MID-SIZE,3.8,6,A4,X,13.5,8.8,11.4,25,262
2000,BUICK,REGAL #,MID-SIZE,3.8,6,A4,Z,15.1,9.5,12.6,22,290
2000,CADILLAC,CATERA,MID-SIZE,3.0,6,A4,Z,14.7,10.4,12.8,22,294
2000,CADILLAC,DEVILLE,FULL-SIZE,4.6,8,A4,Z,15.5,9.6,12.9,22,297
2000,CADILLAC,ELDORADO,MID-SIZE,4.6,8,A4,Z,15.5,9.6,12.9,22,297
2000,CADILLAC,ESCALADE 4X4,SUV,5.7,8,A4,X,21.2,15.7,18.7,15,430
2000,CADILLAC,SEVILLE,MID-SIZE,4.6,8,A4,Z,15.5,9.6,12.9,22,297
2000,CHEVROLET,ASTRO AWD CARGO,VAN - CARGO,4.3,6,A4,X,17.0,13.0,15.2,19,350
2000,CHEVROLET,ASTRO AWD PASSENGER,VAN - PASSENGER,4.3,6,A4,X,17.4,13.4,15.6,18,359
2000,CHEVROLET,ASTRO CARGO,VAN - CARGO,4.3,6,A4,X,16.2,12.7,14.6,19,336
2000,CHEVROLET,ASTRO PASSENGER,VAN - PASSENGER,4.3,6,A4,X,17.7,13.9,16.0,18,368
2000,CHEVROLET,BLAZER,SUV,4.3,6,A4,X,16.2,12.7,14.6,19,336
2000,CHEVROLET,BLAZER,SUV,4.3,6,M5,X,16.3,11.7,14.2,20,327
2000,CHEVROLET,BLAZER 4X4,SUV,4.3,6,A4,X,16.9,13.0,15.2,19,350
2000,CHEVROLET,BLAZER 4X4,SUV,4.3,6,M5,X,18.7,14.5,16.8,17,386
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.7,13.9,16.0,18,368
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.5,14.4,16.7,17,384
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,A4,X,16.3,12.2,14.5,19,334
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,4.8,8,M5,X,18.9,12.9,16.2,17,373
2000,CHEVROLET,C1500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,16.7,12.7,14.9,19,343
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A4,X,17.9,14.1,16.2,17,373
2000,CHEVROLET,C2500 SILVERADO,PICKUP TRUCK - STANDARD,6.0,8,A4,X,21.4,15.9,18.9,15,435
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,A4,X,13.9,8.9,11.7,24,269
2000,CHEVROLET,CAMARO,SUBCOMPACT,3.8,6,M5,X,13.7,8.5,11.4,25,262
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,A4,Z,15.4,10.7,13.3,21,306
2000,CHEVROLET,CAMARO,SUBCOMPACT,5.7,8,M6,Z,14.7,9.6,12.4,23,285
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,A4,X,11.6,8.2,10.1,28,232
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.2,4,M5,X,12.2,7.8,10.2,28,235
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,A4,X,12.5,8.8,10.8,26,248
2000,CHEVROLET,CAVALIER,SUBCOMPACT,2.4,4,M5,X,12.1,7.8,10.2,28,235
2000,CHEVROLET,CAVALIER BIFUEL,SUBCOMPACT,2.2,4,A3,X,11.8,8.9,10.5,27,242
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,A4,Z,15.5,10.7,13.4,21,308
2000,CHEVROLET,CORVETTE,SUBCOMPACT,5.7,8,M6,Z,14.4,9.4,12.1,23,278
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,4.3,6,A4,X,17.8,13.9,16.0,18,368
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.0,8,A4,X,18.2,13.8,16.2,17,373
2000,CHEVROLET,G15/G25 CHEVY VAN,VAN - CARGO,5.7,8,A4,X,19.3,14.9,17.3,16,398
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,4.3,6,A4,X,18.3,14.3,16.5,17,380
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.0,8,A4,X,18.5,14.4,16.7,17,384
2000,CHEVROLET,G1500/G2500 CHEVY EXPRESS,VAN - PASSENGER,5.7,8,A4,X,20.6,15.9,18.5,15,426
2000,CHEVROLET,IMPALA,FULL-SIZE,3.4,6,A4,X,13.6,8.6,11.3,25,260
2000,CHEVROLET,IMPALA,FULL-SIZE,3.8,6,A4,X,13.5,8.8,11.4,25,262
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,17.0,13.0,15.2,19,350
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.3,6,M5,X,18.7,14.5,16.8,17,386
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,A4,X,17.3,14.1,15.9,18,366
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,4.8,8,M5,X,20.1,14.6,17.6,16,405
2000,CHEVROLET,K1500 SILVERADO 4X4,PICKUP TRUCK - STANDARD,5.3,8,A4,X,18.0,14.4,16.4,17,377
2000,CHEVROLET,K1500 TAHOE 4X4,SUV,5.7,8,A4,X,21.1,15.9,18.7,15,430
2000,CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.4,6,A4,X,13.6,8.6,11.3,25,260
2000,CHEVROLET,LUMINA/MONTE CARLO,MID-SIZE,3.8,6,A4,X,13.5,8.8,11.4,25,262
2000,CHEVROLET,MALIBU,MID-SIZE,3.1,6,A4,X,13.1,8.7,11.1,25,255
2000,CHEVROLET,METRO,SUBCOMPACT,1.0,3,M5,X,7.1,5.5,6.4,44,147
2000,CHEVROLET,METRO,SUBCOMPACT,1.3,4,A3,X,9.1,7.4,8.3,34,191
2000,CHEVROLET,METRO,SUBCOMPACT,1.3,4,M5,X,7.6,5.9,6.8,42,156
2000,CHEVROLET,NEW C1500 SUBURBAN,SUV,5.3,8,A4,X,18.9,14.6,17.0,17,391
2000,CHEVROLET,NEW C1500 TAHOE,SUV,4.8,8,A4,X,18.7,14.9,17.0,17,391
2000,CHEVROLET,NEW C1500 TAHOE,SUV,5.3,8,A4,X,18.9,14.6,17.0,17,391
2000,CHEVROLET,NEW K1500 TAHOE 4X4,SUV,4.8,8,A4,X,18.7,14.9,17.0,17,391
