MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2005,ACURA,1.7EL,COMPACT,1.7,4,A4,X,9.2,7.2,8.3,34,191,,
2005,ACURA,1.7EL,COMPACT,1.7,4,M5,X,9.1,7.3,8.3,34,191,,
2005,ACURA,MDX AWD,SUV,3.5,6,A5,Z,15.9,11.1,13.7,21,315,,
2005,ACURA,NSX,TWO-SEATER,3.0,6,AS4,Z,15.1,10.5,13.0,22,299,,
2005,ACURA,NSX,TWO-SEATER,3.2,6,M6,Z,15.1,10.5,13.0,22,299,,
2005,ACURA,RL,MID-SIZE,3.5,6,AS5,Z,14.5,9.9,12.4,23,285,,
2005,ACURA,RSX,SUBCOMPACT,2.0,4,AS5,X,10.6,7.6,9.3,30,214,,
2005,ACURA,RSX,SUBCOMPACT,2.0,4,M5,X,9.9,7.6,8.9,32,205,,
2005,ACURA,RSX,SUBCOMPACT,2.0,4,M6,Z,11.8,8.3,10.2,28,235,,
2005,ACURA,TL,MID-SIZE,3.2,6,AS5,Z,13.3,8.9,11.3,25,260,,
2005,ACURA,TL,MID-SIZE,3.2,6,M6,Z,13.3,8.9,11.3,25,260,,
2005,ACURA,TSX,COMPACT,2.4,4,AS5,Z,12.0,8.5,10.4,27,239,,
2005,ACURA,TSX,COMPACT,2.4,4,M6,Z,12.5,8.7,10.8,26,248,,
2005,AUDI,A4,COMPACT,1.8,4,AV,Z,11.8,8.7,10.4,27,239,,
2005,AUDI,A4 AVANT,STATION WAGON - SMALL,1.8,4,AV,Z,11.6,8.6,10.2,28,235,,
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,AS5,Z,13.2,9.0,11.3,25,260,,
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,1.8,4,M6,Z,12.6,8.5,10.7,26,246,,
2005,AUDI,A4 AVANT QUATTRO,STATION WAGON - SMALL,3.0,6,AS5,Z,14.5,9.9,12.4,23,285,,
