MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,,,,CO2 EMISSIONS ,CO2,,,
YEAR,,,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),RATING,,,
2016,ACURA,ILX,COMPACT,2.4,4,AM8,Z,9.3,6.6,8.1,35,189,7,,,
2016,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS9,Z,12.7,9.1,11.1,25,254,5,,,
2016,ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6,AS9,Z,12.2,9.1,10.7,26,251,5,,,
2016,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.6,10.7,26,249,5,,,
2016,ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,235,5,,,
2016,ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.0,7.5,7.7,37,180,7,,,
2016,ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,34,196,7,,,
2016,ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29,226,5,,,
2016,ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,7,,,
2016,ASTON MARTIN,DB9 GT,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,365,2,,,
2016,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.8,10.9,14.2,20,332,3,,,
2016,ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Z,17.6,11.4,14.8,19,346,3,,,
2016,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343,3,,,
2016,ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362,2,,,
2016,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343,3,,,
2016,ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362,2,,,
2016,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343,3,,,
2016,ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362,2,,,
2016,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,AM7,Z,19.5,12.8,16.5,17,390,2,,,
